timestamp,matrix_size,mac_units,frequency_mhz,compute_time_ms,total_time_ms,power_consumption_w,gflops,efficiency_gflops_w,workload_priority,auto_reconfigure,reconfig_metadata
1756156617.080448,4,16,1000.0,0.016,0.4510830040089786,10.0,0.008,0.0008,efficiency,True,"{'timestamp': 1756156617.080439, 'old_mac_units': 96, 'new_mac_units': 16, 'old_frequency': 1000.0, 'new_frequency': 1000.0, 'reconfig_time_ms': 0.44179201358929276, 'mac_change': 80, 'freq_change': 0.0}"
1756156617.080451,4,16,1000.0,0.016,0.0013749959180131555,10.0,0.008,0.0008,efficiency,True,
1756156617.0804532,4,16,1000.0,0.016,0.000667001586407423,10.0,0.008,0.0008,efficiency,True,
1756156617.0804539,4,16,1000.0,0.016,0.0005830079317092896,10.0,0.008,0.0008,efficiency,True,
1756156617.0804548,4,16,1000.0,0.016,0.0005840120138600469,10.0,0.008,0.0008,efficiency,True,
1756156617.080458,4,16,1000.0,0.016,0.0006250047590583563,10.0,0.008,0.0008,efficiency,True,
1756156617.080459,4,16,1000.0,0.016,0.0006249902071431279,10.0,0.008,0.0008,efficiency,True,
1756156617.08046,4,16,1000.0,0.016,0.0007919879863038659,10.0,0.008,0.0008,efficiency,True,
1756156617.080461,4,16,1000.0,0.016,0.0005830079317092896,10.0,0.008,0.0008,efficiency,True,
1756156617.080462,4,16,1000.0,0.016,0.0005829933797940612,10.0,0.008,0.0008,efficiency,True,
1756156617.0806358,8,24,1000.0,0.17066666666666666,0.16829100786708295,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,"{'timestamp': 1756156617.080628, 'old_mac_units': 16, 'new_mac_units': 24, 'old_frequency': 1000.0, 'new_frequency': 1000.0, 'reconfig_time_ms': 0.1599160023033619, 'mac_change': 8, 'freq_change': 0.0}"
1756156617.080637,8,24,1000.0,0.17066666666666666,0.0008329952834174037,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080638,8,24,1000.0,0.17066666666666666,0.0005829933797940612,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080639,8,24,1000.0,0.17066666666666666,0.0007089984137564898,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.08064,8,24,1000.0,0.17066666666666666,0.0005829933797940612,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080649,8,24,1000.0,0.17066666666666666,0.000667001586407423,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.08065,8,24,1000.0,0.17066666666666666,0.0005829933797940612,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
